"PDF Customiser by Fooman","PDF Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Add your custom comments here to appear at the bottom of the Creditmemo Print-out"
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Add your custom comments here to appear at the bottom of the Shipment Print-out"
"Bottom Margin","Bottom Margin"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8)."
"Credit Memo Title","Credit Memo Title"
"Custom Text","Custom Text"
"Font","Font"
"Font Size","Font Size"
"Invoice Title","Invoice Title"
"Logo for the PDF Print-outs","Logo for the PDF Print-outs"
"Page Size","Page Size"
"Shipment Title","Shipment Title"
"Side Margins","Side Margins"
"Store Address","Store Address"
"Tax Details","Tax Details"
"Top Margin","Top Margin"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address."
"A4","A4"
"letter","letter"
"Billing Address only","Billing Address only"
"Shipping Address only","Shipping Address only"
"Both Addresses","Both Addresses"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign PDF","Digitally Sign PDF"
"Signature","Signature"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----"
"Password of Signature","Password of Signature"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Print-out.","Add your custom comments here to appear at the bottom of the Order Print-out."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address."
"Display","Display"
"None","None"
"Product Image","Product Image"
"SKU Barcode","SKU Barcode"
"Display Quantity as full number","Display Quantity as full number"
"US","US"
"European","European"
"Customer Address Format","Customer Address Format"
"Display Base and Order Currency","Display Base and Order Currency"
"Delivery Date","Delivery Date"
"Display Delivery Date","Display Delivery Date"
"Displays the date of the invoice again. Needed in some jurisdictions.","Displays the date of the invoice again. Needed in some jurisdictions."
"Print Order History with Comments","Print Order History with Comments"
"Single - Shipping Address Label","Single - Shipping Address Label"
"Single - Billing Address Label","Single - Billing Address Label"
"Double - Both Addresses","Double - Both Addresses"
"Use Integrated Labels","Use Integrated Labels"
"Print Order as Packing Slip","Print Order as Packing Slip"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead)."
"Footer Block 1","Footer Block 1"
"Footer Block 2","Footer Block 2"
"Footer Block 3","Footer Block 3"
"Footer Block 4","Footer Block 4"
"Double - Shipping and Return Addresses","Double - Shipping and Return Addresses"
"Return Address","Return Address"
"Total Weight","Total Weight"
"Display Total Weight","Display Total Weight"
"kg","kg"
"Background Image for PDF Print-outs","Background Image for PDF Print-outs"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
"Display Row Total Including Tax","Display Row Total Including Tax"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Grand Total is tax inclusive"
"Display only one Grand Total","Display only one Grand Total"
"Display detailed Tax Summary","Display detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
